model,size,nodes,edges,time,mem
FlatSignalFlow,73,55,106,0.01,68
Flow,141,81,134,0.011,508
flowchart,100,56,99,0.01,580
flowcontrol,72,38,66,0.01,70
FlowDesigner,54,25,35,0.006,307
FlowDsl,69,45,57,0.008,517
FlowerDiagramNotation,106,58,116,0.009,439
FlowGraph,68,38,86,0.009,137
flow_concept,73,22,38,0.008,517
flow_edge,31,13,23,0.005,3
flow_noedge,25,9,14,0.005,73
FML,89,63,87,0.008,808
fmusim,57,28,41,0.005,67
fnmeta,61,36,47,0.007,71
Forge,371,98,111,0.01,577
form,46,34,39,0.008,5
format,60535,9514,12936,0.531,-12373
formatter,78,9,9,0.008,413
Forms,659,169,235,0.014,1158
formsembedded,11,4,3,0.005,375
formsextension,12,4,3,0.006,62
formsfamily,53,30,48,0.008,406
FormularMM,41,24,34,0.007,36
FoundationModel,260,168,221,0.014,1066
Fouroperation,23,13,18,0.006,35
fr.medieval.model,52,22,34,0.006,443
Fractal,156,96,149,0.013,527
FractalIdt,23,9,9,0.006,2
FractalItf,295,171,261,0.015,921
frascati,256,50,55,0.008,93
freemarker,10,3,2,0.006,411
Freemind,567,80,103,0.009,668
frontend.attribution,51,30,50,0.008,36
frontend.chain,38,21,36,0.006,369
frontend.core,267,153,261,0.015,1106
frontend.imperative,34,21,29,0.008,0
frontend.koan,38,22,33,0.006,17
frontend.mappings,202,112,190,0.011,546
frontend.pat,49,28,44,0.007,150
frontend.qool,137,76,124,0.01,488
frontend.script,22,14,15,0.006,409
frontend.tao,69,38,65,0.007,33
fsa,27,14,24,0.005,438
fsm-noOpposite,39,20,29,0.007,31
fsm,42,20,35,0.007,400
fsml,33,6,7,0.005,0
fsm_with_ids,46,22,37,0.006,133
fUML,1465,358,679,0.027,2220
Function,86,53,87,0.013,450
functions,221,23,38,0.009,407
furniture,45,30,41,0.007,93
futsal,120,75,115,0.01,494
FwitRequirementsModel,154,87,86,0.009,494
FXBean,62,38,47,0.007,437
fxg,695,516,666,0.032,-23201
FXGraph,157,97,150,0.013,472
GACL,107,59,97,0.009,498
GAIA,74,55,90,0.008,406
gamelogic,133,90,142,0.012,578
games,24,11,14,0.007,5
gameserver,19,8,15,0.006,404
GameServerModel,49,38,72,0.009,101
gameworld,106,69,108,0.01,476
Gantt,68,52,60,0.008,111
Gatekeeper,254,172,241,0.014,1022
gautosar,1775,362,627,0.021,2229
gbind,510,268,572,0.021,1565
gcomponent,186,107,169,0.011,913
Gdbsl,13,5,5,0.005,6
gedcoml,110,60,81,0.009,549
General,352,192,218,0.013,946
generatedModel,43,15,23,0.006,33
generatedModel2,76,16,25,0.006,368
generatedplugin,214,34,36,0.008,106
generator2,11,3,2,0.004,100
GenericEditor,51,32,48,0.008,36
genericity_dsl,229,36,58,0.007,587
GenericOutline,36,21,32,0.006,417
generics,456,43,54,0.034,-21067
Genesis,43,22,32,0.005,155
GenModel,312,186,240,0.015,1059
GenModel2,34,17,19,0.007,213
genotype,65,32,61,0.011,-7771
