model,nodes,edges,time,mem
javaproperties,8,8,9,264
JavaSource,13,22,7,264
JavaTypes,4,3,5,264
JavaVMTypes,118,212,13,962
javaz,58,78,9,506
java_templates,85,84,10,683
jaxrpcmap,87,107,10,700
jBPM5Extensions,26,28,12,464
jca,80,98,12,701
jdsl,48,62,9,485
jdt,11,11,8,265
JDTAST,92,140,11,1262
jedihelp,26,26,7,262
JenaRules,41,63,9,462
Jess,126,236,12,978
jex,60,94,8,485
JKind,129,181,12,778
Jnario,24,34,10,465
joblet,7,7,7,622
jobtool,31,41,8,464
JourneyModel,88,95,10,521
jpa-mixed,15,16,10,283
JPas,60,86,9,521
jpdl32,347,491,21,2163
js,11,14,8,444
jsflibraryregistry,24,31,8,464
jsm,142,281,13,978
json,19,26,6,285
jsp,15,16,8,441
jtemplates,5,3,6,262
junit,21,33,9,264
Junitresult,48,60,10,485
JWTMetaModel,124,218,14,922
kaom,27,40,9,286
Kappa,61,89,11,521
Karel,57,81,9,485
KarteikastenSystem,40,58,9,465
kdm-09-05-23,671,1232,35,3895
kdm-modisco,683,1264,37,4119
KDM,671,1232,31,3895
